sample	unit	platform	fq1	fq2	bam
17_08	0	ILLUMINA	-	-	/confidential/tGenVar/tech/illumina/bam_hg38/ill.17_08.hg38.bam
17_01	0	ILLUMINA	-	-	/confidential/tGenVar/tech/illumina/bam_hg38/ill.17_01.hg38.bam
146_97	0	ILLUMINA	-	-	/confidential/tGenVar/tech/illumina/bam_hg38/ill.146_97.hg38.bam
159_98	0	ILLUMINA	-	-	/confidential/tGenVar/tech/illumina/bam_hg38/ill.159_98.hg38.bam
